"","vanilla_lasso","plain_lasso","vanilla_stepwise","plain_stepwise","SHIM"
"1",1,0.6,1,0.4,0
"2",1,0.7,1,0.5,0
"3",1,0.5,1,0.4,0
"4",1,0.777777777777778,1,0.7,0
"5",1,0.5,1,0.5,0
"6",1,0.6,1,0.444444444444444,0
"7",1,0.4,1,0.6,0
"8",1,0.7,1,0.7,0
"9",1,0.6,1,0.571428571428571,0
"10",1,0.6,1,0.555555555555556,0
"11",1,0.8,1,0.555555555555556,0
"12",1,0.7,1,0.444444444444444,0
"13",1,0.7,1,0.5,0
"14",1,0.6,1,0.444444444444444,0
"15",1,0.6,1,0.5,0
"16",1,0.555555555555556,1,0.555555555555556,0
"17",1,0.7,1,0.7,0
"18",1,0.7,1,0.444444444444444,0
"19",1,0.666666666666667,1,0.444444444444444,0
"20",1,0.6,1,0.625,0
"21",1,0.444444444444444,1,0.4,0
"22",1,0.7,1,0.444444444444444,0
"23",1,0.8,1,0.875,0
"24",1,0.4,1,0.444444444444444,0
"25",1,0.7,1,0.555555555555556,0
"26",1,0.8,1,0.6,0
"27",1,0.5,1,0.6,0
"28",1,0.5,1,0.5,0
"29",1,1,1,0.5,0
"30",1,0.8,1,0.444444444444444,0
"31",1,0.6,1,0.5,0
"32",1,0.5,1,0.555555555555556,0
"33",1,0.6,1,0.5,0
"34",1,0.8,1,0.5,0
"35",1,0.6,1,0.555555555555556,0
"36",1,0.666666666666667,1,0.6,0
"37",1,0.5,1,0.5,0
"38",1,0.6,1,0.5,0
"39",1,0.555555555555556,1,0.444444444444444,0
"40",1,0.666666666666667,1,0.555555555555556,0
"41",1,0.571428571428571,1,0.7,0
"42",1,0.7,1,0.666666666666667,0
"43",1,0.7,1,0.444444444444444,0
"44",1,0.7,1,0.6,0
"45",1,0.6,1,0.625,0
"46",1,0.5,1,0.444444444444444,0
"47",1,0.6,1,0.555555555555556,0
"48",1,0.7,1,0.5,0
"49",1,0.5,1,0.666666666666667,0
"50",1,0.5,1,0.444444444444444,0
